Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
385,software-factory/sf-config,1003,[22],"[6, 7, 22, 385, 458]","['ansible/roles/sf-base/tasks/upgrade.yml', 'ansible/roles/sf-container/tasks/setup.yaml', 'ansible/roles/sf-container/templates/creation.j2', 'ansible/roles/sf-elasticsearch/defaults/main.yml', 'ansible/roles/sf-elasticsearch/handlers/main.yml', 'ansible/roles/sf-elasticsearch/tasks/configure_mirror.yml', 'ansible/roles/sf-elasticsearch/tasks/create_users.yml', 'ansible/roles/sf-elasticsearch/tasks/disable.yml', 'ansible/roles/sf-elasticsearch/tasks/gen_user_pass.yml', 'ansible/roles/sf-elasticsearch/tasks/install.yml', 'ansible/roles/sf-elasticsearch/tasks/performance_analyzer.yml', 'ansible/roles/sf-elasticsearch/tasks/postconf.yml', 'ansible/roles/sf-elasticsearch/tasks/setup.yml', 'ansible/roles/sf-elasticsearch/tasks/upgrade.yml', 'ansible/roles/sf-elasticsearch/templates/action_groups.yml.j2', 'ansible/roles/sf-elasticsearch/templates/nodes_dn.yml.j2', 'ansible/roles/sf-elasticsearch/templates/opensearch-config.yml.j2', 'ansible/roles/sf-elasticsearch/templates/whitelist.yml.j2', 'ansible/roles/sf-gateway/tasks/jwt_configuration.yml', 'ansible/roles/sf-install-server/meta/sfconfig.py', 'ansible/roles/sf-kibana/defaults/main.yml', 'ansible/roles/sf-kibana/files/kibana-backup.py', 'ansible/roles/sf-kibana/handlers/main.yml', 'ansible/roles/sf-kibana/tasks/configure_mirror.yml', 'ansible/roles/sf-kibana/tasks/disable.yml', 'ansible/roles/sf-kibana/tasks/install.yml', 'ansible/roles/sf-kibana/tasks/postconf.yml', 'ansible/roles/sf-kibana/tasks/setup.yml', 'ansible/roles/sf-kibana/tasks/upgrade.yml', 'ansible/roles/sf-kibana/templates/opensearch-dashboards.yml.j2', 'ansible/roles/sf-logstash/defaults/main.yml', 'ansible/roles/sf-logstash/templates/curator.yml.j2', 'ansible/roles/sf-upgrade/tasks/main.yml', 'sf-config.spec', 'ansible/roles/sf-elasticsearch/tasks/get_logs.yml', 'ansible/roles/sf-kibana/tasks/get_logs.yml', 'ansible/roles/sf-logstash/tasks/setup.yml', 'ansible/roles/sf-logstash/tasks/install.yml', 'ansible/roles/sf-logstash/tasks/upgrade.yml']",Move Opendistro to Opensearch,closed
405,dci-control-server,10,"[29, 405]","[28, 29, 186, 405, 458]","['dci/alembic/versions/2c7bc5614cf8_remove_parent_id.py', 'dci/alembic/versions/b4a4e3568d82_constaint_component_unique_name.py', 'dci/auth.py', 'tests/api/v1/test_files.py', 'tests/conftest.py']",Remove warnings,closed
405,dci-ui,17,[405],"[405, 458]","['src/auth/authContext.tsx', 'src/services/localStorage.ts']",Don't try to log in if no token on startup,closed
29,dci-control-server,98,"[29, 405]","[29, 405, 458]","['dci/common/args.py', 'dci/common/schemas.py', 'dci/db/declarative.py', 'tests/api/v1/test_components.py', 'tests/common/test_args.py']",Add ability to get resources from a given timestamp,closed
724,dci-openshift-app-agent,2,[800],"[458, 630, 800]",['roles/cnf-cert/README.md'],Fix format for github,closed
821,dci-openshift-agent,2,"[667, 800]","[458, 630, 667, 800]",['plays/pre-run.yml'],Use correct ansible_user in delegate action,closed
667,dci-openshift-agent,10,"[938, 800]","[20, 458, 630, 667, 673, 724, 800, 938]",['plays/scripts/get-logs'],Double the timeout for gathering logs,closed
609,software-factory/sf-infra,10,"[267, 22, 385]","[22, 267, 385, 458, 506]",['playbooks/host_vars/trunk-centos8.rdoproject.org.yaml'],Enable cron and gerrit notifications for centos9-wallaby,closed
385,software-factory/sf-infra,2,[385],"[6, 7, 22, 68, 200, 385, 458]",['playbooks/host_vars/opensearch.rdoproject.org.yaml'],Bump Opensearch to 1.2.2,closed
724,dci-openshift-app-agent,246,[667],"[20, 458, 526, 630, 667, 724, 789, 800, 908, 938]","['README.md', 'roles/cnf-cert/README.md', 'roles/preflight/README.md']",Documentation for the CNF role,closed
22,software-factory/sf-config,7,"[22, 6]","[6, 7, 22, 68, 385, 458]",['ansible/roles/sf-base/tasks/setup.yml'],sf-base: Disable subscription-manager on CentOS,closed
385,software-factory/sf-ci,429,"[6, 22, 385]","[6, 7, 22, 68, 385, 458]","['roles/health-check/kibana-backup-restore/files/dashboard.ndjson', 'roles/health-check/kibana-backup-restore/files/dashboard.yaml', 'roles/health-check/kibana-backup-restore/files/index-pattern.ndjson', 'roles/health-check/kibana-backup-restore/files/index-pattern.yaml', 'roles/health-check/kibana-backup-restore/files/visualization.ndjson', 'roles/health-check/kibana-backup-restore/files/visualization.yaml', 'roles/health-check/kibana-backup-restore/tasks/main.yml', 'roles/health-check/kibana-backup-restore/tasks/opendistro.yml', 'roles/health-check/kibana-backup-restore/tasks/opensearch.yml', 'playbooks/health-check/sf-health-check.yaml']",Fix condition when Opendistro package ; fix kibana backup tool,closed
30,config,65,[22],"[6, 22, 458]","['nodepool/static_config/zs.dhall', 'nodepool/static_config/zs.yaml']",restore vexxhost-nodepool-ansible,closed
22,config,413,[6],"[6, 7, 30, 68, 385, 458, 492]","['nodepool/Makefile', 'nodepool/diskimages/package.dhall', 'nodepool/diskimages/upstream-centos-7-psi-public.dhall', 'nodepool/diskimages/upstream-centos-8-psi-public.dhall', 'nodepool/diskimages/upstream-centos-8-stream-psi-public.dhall', 'nodepool/diskimages/upstream-centos-psi-public-base.dhall', 'nodepool/doc/how-to-architecture.md', 'nodepool/providers/psi-public-nodepool-tripleo.dhall', 'nodepool/static_config/nodepool-builder-02.dhall', 'nodepool/static_config/nodepool-builder-02.yaml', 'nodepool/static_config/nodepool-launcher-02.dhall', 'nodepool/static_config/nodepool-launcher-02.yaml']",nodepool: remove configuration for builder-02 and launcher-02,closed
22,software-factory/sf-infra,126,[6],"[6, 385, 458]","['ansible/hosts.yaml', 'doc/inventory.md', 'monitoring/prometheus.yaml', 'playbooks/host_vars/mirror.regionone.psi-public-nodepool-tripleo.rdoproject.org.yaml', 'playbooks/host_vars/prometheus.monitoring.softwarefactory-project.io.yaml', 'playbooks/vars/infra-sf.yaml', 'roles/generate-etc-hosts/files/sshconfig', 'roles/sf-install-server/files/arch-managesf.softwarefactory-project.io.yaml', 'vars/infra-rdo/instances.dhall', 'vars/infra-sf/instances.dhall', 'vars/infra-sf/rules/prometheus-statsd.dhall', 'playbooks/host_vars/bridge.softwarefactory-project.io.yaml', 'vars/infra-sf/networking.dhall']",delete psi-public hosts data,closed
22,software-factory/sf-config,10,"[22, 6, 385]","[6, 7, 22, 68, 385, 458]","['ansible/roles/sf-container/tasks/setup.yaml', 'ansible/roles/sf-container/templates/creation.j2', 'ansible/roles/sf-nodepool/defaults/main.yml', 'ansible/roles/sf-zuul/defaults/main.yml', 'ansible/roles/sf-gerrit/defaults/main.yml']",sf-container: remove needs_self_signed_ca params,closed
22,config,2,[22],"[7, 22, 458]",['nodepool/README.md'],Update README to validate config udpate works after PSI removal,closed
405,python-dciclient,171,[29],"[20, 29, 166, 222, 458]","['dciclient/v1/api/base.py', 'dciclient/v1/api/component.py', 'dciclient/v1/api/topic.py', 'dciclient/version.py', 'python-dciclient.spec', 'tests/api/test_components.py', 'tests/api/test_topics.py', 'tox.ini']",Introduce get_or_create resource,closed
405,dci-control-server,76,[405],"[29, 222, 405, 458]","['dci/api/v1/audits.py', 'dci/api/v1/components.py', 'dci/api/v1/feeders.py', 'dci/api/v1/files.py', 'dci/api/v1/jobstates.py', 'dci/api/v1/topics.py', 'dci/common/args.py', 'dci/common/schemas.py', 'dci/db/declarative.py', 'tests/api/v1/test_topics.py', 'tests/db/test_declarative.py']","Revert ""add pagination limit""",closed
29,dci-control-server,76,"[29, 405]","[29, 222, 405, 458]","['dci/api/v1/audits.py', 'dci/api/v1/components.py', 'dci/api/v1/feeders.py', 'dci/api/v1/files.py', 'dci/api/v1/jobstates.py', 'dci/api/v1/topics.py', 'dci/common/args.py', 'dci/common/schemas.py', 'dci/db/declarative.py', 'tests/api/v1/test_topics.py', 'tests/db/test_declarative.py']",add pagination limit,closed
800,dci-openshift-app-agent,25,[20],"[20, 458, 630, 800]","['README.md', 'roles/cnf-cert/defaults/main.yml', 'roles/cnf-cert/tasks/save-images.yml', 'roles/cnf-cert/tasks/tests.yml', 'samples/tnf_test_example/hooks/templates/test_deployment.yml.j2']",Changes for supporting tnf v3.2.0 in d-o-a-a,closed
267,software-factory/sf-infra,4,"[200, 22, 609, 385]","[22, 200, 385, 458, 609]",['playbooks/host_vars/trunk.rdoproject.org.yaml'],Move centos9 symlink to centos9-master-uc RDO Trunk,closed
385,software-factory/sf-infra,60,[6],"[6, 22, 385, 458]",['roles/log-gearman/files/zuul-job-scrapper.py'],"Revert ""[logscraper] Port few patches from logscraper""",closed
938,dci-openshift-app-agent,157,[20],"[20, 458, 606, 630, 673, 821, 938]","['README.md', 'group_vars/all', 'plays/tests.yml', 'roles/pyxis/README.md', 'roles/pyxis/defaults/main.yml', 'roles/pyxis/tasks/submit.yml', 'roles/pyxis/tasks/submit_test_results.yml', 'roles/pyxis/templates/test_results.json.j2']",Enable certification results submission to Pyxis API,closed
385,software-factory/ansible-role-elastic-recheck,4,[458],[458],"['README.md', 'group_vars/all', 'plays/tests.yml', 'roles/pyxis/README.md', 'roles/pyxis/defaults/main.yml', 'roles/pyxis/tasks/submit.yml', 'roles/pyxis/tasks/submit_test_results.yml', 'roles/pyxis/templates/test_results.json.j2']",DNM bump Opensearch to 1.2.2; changed logstash image,new
385,software-factory/sf-infra,60,"[6, 22]","[6, 22, 458]",['roles/log-gearman/files/zuul-job-scrapper.py'],[logscraper] Port few patches from logscraper,closed
22,software-factory/sf-config,14,"[22, 6, 385]","[6, 7, 22, 68, 200, 385, 458]","['ansible/roles/sf-container/tasks/setup.yaml', 'ansible/roles/sf-container/templates/creation.j2', 'ansible/roles/sf-zuul/templates/zuul.conf.j2', 'ansible/roles/sf-elasticsearch/meta/sfconfig.py']",sf-container: mount tls-ca-bundle.pem from host instead using update-ca-trust,closed
385,software-factory/ansible-role-elastic-recheck,5,[6],"[6, 385, 458]",['templates/opensearch.yml.j2'],Improve Opensearch config,closed
385,containers,59,"[6, 22]","[6, 22, 68, 385, 458]","['images/lib/logstash.dhall', 'zuul.d/images.yaml']",Patch logstash 7.10.1,closed
29,dci-control-server,0,[29],"[29, 458]",[],Just trigger the CI,closed
29,dci-ansible,4,[405],"[222, 405, 458, 630]",['modules/dci_topic.py'],Remove topic's label field.,closed
405,dci-control-server,671,[29],"[28, 29, 107, 186, 458]","['dci/api/v1/__init__.py', 'dci/api/v1/tags.py', 'tests/api/v1/test_tags.py', 'dci/alembic/versions/4559e880d576_remove_tags_tables.py', 'dci/api/v1/jobs.py', 'dci/db/embeds.py', 'dci/db/models.py', 'tests/api/v1/test_components.py', 'tests/api/v1/test_jobs_tags.py', 'dci/alembic/versions/45e44e338043_add_tags_array_to_jobs.py', 'dci/api/v1/components.py']",Remove tags endpoints,closed
673,dci-openshift-agent,14,[724],"[458, 630, 673, 724]",['dci-openshift-agent.yml'],Running the failure process of partners before the teardown,closed
648,python-dciclient,57,"[28, 29]","[28, 29, 166, 405, 458]","['dciclient/v1/shell_commands/topic.py', 'tests/shell_commands/test_topic.py']",This was accidentally blanking the component_types,closed
385,containers,91,[6],"[6, 7, 22, 385, 458]","['images/lib/versions.dhall', 'images/opensearch-dashboards.dhall', 'zuul.d/images.yaml']",Bump Opensearch and Opensearch dashboards container images,closed
385,software-factory/ansible-role-elastic-recheck,2,"[6, 385]","[6, 7, 22, 68, 385, 458]",['defaults/main.yml'],Bump Opensearch to 1.2.1,closed
385,software-factory/sf-infra,7,"[6, 385]","[6, 7, 22, 68, 200, 385, 458]","['ansible/hosts.yaml', 'roles/generate-etc-hosts/files/sshconfig', 'vars/infra-rdo/instances.dhall']",Add ansible_host for quay.rdoproject.org,closed
29,dci-control-server,110,"[458, 20, 405]","[458, 20, 405]","['ansible/hosts.yaml', 'roles/generate-etc-hosts/files/sshconfig', 'vars/infra-rdo/instances.dhall']",components: allow creation of team component,new
29,python-dciclient,5,[29],"[29, 166, 458]",['tests/test_file.py'],"test_file: add limit,offset parameter to test_iter",closed
22,software-factory/sf-config,3,[6],"[6, 7, 68, 385, 458]","['ansible/roles/sf-zookeeper/defaults/main.yml', 'ansible/roles/sf-zookeeper/templates/zoo.cfg.j2']",sf-zookeeper: Add zookeeper_purgeInterval variable,closed
7,software-factory/sf-infra,17,[6],"[6, 22, 458]","['ansible/hosts.yaml', 'doc/inventory.md', 'roles/generate-etc-hosts/files/sshconfig', 'vars/infra-sf/instances.dhall']",Remove the lambda host,closed
7,software-factory/sf-infra,2,"[6, 385]","[6, 385, 458]","['monitoring/prometheus.yaml', 'vars/infra-sf/instances.dhall']",[monitoring] Add gerrit service to the blackbox url prometheus exporter,closed
405,dci-dev-env,5,"[648, 405]","[405, 458, 648]","['utils/bootstrap.sh', 'utils/projects.lst']",Add dci-pipeline and dci-doc in projects list,closed
29,python-dciclient,2,[29],"[29, 458]",['tests/test_file.py'],"test_file: add limit,offset parameter to test_iter",closed
606,dci-openshift-agent,14,[648],"[29, 458, 606, 630, 648]",['roles/oc-setup/tasks/install.yml'],Symlink .kube/config to clusterconfig/auth/kubeconfig,closed
648,python-dciclient,209,"[606, 405]","[28, 29, 166, 222, 405, 458, 606, 648]","['dciclient/v1/api/component.py', 'dciclient/v1/api/product.py', 'dciclient/v1/api/topic.py', 'dciclient/v1/shell_commands/cli.py', 'dciclient/v1/shell_commands/component.py', 'dciclient/v1/shell_commands/topic.py', 'tests/shell_commands/test_cli.py', 'tests/shell_commands/test_component.py', 'tests/shell_commands/test_product.py']",UX improvements to the CLI and update capabilities,closed
20,dci-openshift-agent,9,[938],"[20, 458, 630, 938]","['dci-openshift-agent.yml', 'group_vars/all']",remove assertions,closed
405,dci-dev-env,2117,"[648, 405]","[20, 29, 115, 166, 405, 458, 553, 648]","['.env', 'README.md', 'dci-analytics.yml', 'dci-ansible.yml', 'dci-doc.yml', 'dci-keycloak.yml', 'dci-keycloak/README.md', 'dci-keycloak/redhat-external-realm.json', 'dci-swift.yml', 'dci.yml', 'requirements.txt', 'dci-ui.yml', 'dci-extra.yml', 'dcirc.sh']",Use staging SSO instead of keycloak,closed
405,dci-control-server,416,"[648, 405]","[20, 29, 56, 166, 222, 405, 458, 648]","['Dockerfile', 'bin/keycloak-provision.py', 'entrypoint.sh', 'sso/RH-IT-Root-CA.crt', 'sso/ca.crt', 'sso/ca.key', 'tests/settings.py', 'tests/sso_tokens.py', 'tox.ini', 'bin/dci-get-pem-ks-key.py']",Refactoring Dockerfile,closed
405,dci-jobs,12,[405],"[28, 405, 458, 526, 648]",['playbooks/build/podman/main.yaml'],Add missing podman-compose files,closed
385,software-factory/ansible-role-elastic-recheck,336,[458],[458],['playbooks/build/podman/main.yaml'],"Parametrize Opensearch, logstash, curator directories; use more handlers",new
385,containers,275,[458],[458],['playbooks/build/podman/main.yaml'],DNM add python-builder image base on fedora minimal,new
385,software-factory/sf-infra,4,[385],"[6, 7, 22, 68, 200, 385, 458]",['playbooks/host_vars/opensearch.rdoproject.org.yaml'],Upgrade Opensearch to 1.2.1,closed
724,dci-openshift-agent,1,[724],"[20, 458, 630, 724]",['group_vars/all'],Remove dci_name,closed
7,software-factory/sf-ci,8,[7],"[7, 385, 458]","['roles/health-check/k1s/tasks/config_repo_nodepool_configuration.yml', 'zuul.d/projects.yaml']",Change nodeset to linters-pod; change example image to fedora 34,closed
6,www.softwarefactory-project.io,29,"[7, 385]","[7, 385, 458]",['website/content/blog-log4shell-2.rst'],Add log4shell mitigation post (v2),closed
30,config,8,"[6, 7]","[6, 7, 22, 458]","['nodepool/providers/vexxhost-nodepool-ansible.dhall', 'nodepool/static_config/nodepool-launcher-02.yaml']",ansible: also update the cloud-images section,closed
385,software-factory/sf-config,272,"[6, 385]","[6, 7, 22, 68, 385, 458]","['ansible/roles/sf-logstash/defaults/main.yml', 'ansible/roles/sf-logstash/handlers/main.yml', 'ansible/roles/sf-logstash/tasks/configure_mirror.yml', 'ansible/roles/sf-logstash/tasks/disable.yml', 'ansible/roles/sf-logstash/tasks/install.yml', 'ansible/roles/sf-logstash/tasks/setup.yml', 'ansible/roles/sf-logstash/tasks/upgrade.yml']",Move logstash and curator to container base service,closed
405,dci-infra,2,"[28, 29]","[28, 29, 458, 642]",['roles/elasticsearch/defaults/main.yml'],Disable SSL on Elastic,closed
405,dci-doc,21,[405],"[56, 405, 458]",['Dockerfile'],Use UBI base image,closed
385,software-factory/sf-config,8,"[201, 6, 7]","[6, 7, 22, 68, 201, 385, 458]",['ansible/roles/sf-gerrit/defaults/main.yml'],Change Gerrit plugins url path,closed
20,dci-openshift-app-agent,41,[800],"[20, 458, 526, 630, 800, 821]","['ansible.cfg', 'dci-openshift-app-agent-ctl', 'group_vars/all', 'settings.yml']",do not hardcode anymore inventory in ansible.cfg,closed
20,dci-openshift-agent,106,[800],"[20, 29, 458, 606, 630, 648, 800, 821]","['dci-check-change', 'dci-openshift-agent-ctl', 'docs/development.md', 'group_vars/all', 'settings.yml', 'test-runner']",support prefix in dci-check-changes,closed
405,dci-ui,27,[405],"[56, 222, 405, 458]",['Dockerfile'],Use UBI base image,closed
405,dci-openshift-agent,1,"[667, 405]","[405, 458, 630, 667, 724]",['samples/ansible.cfg'],Remove duplicated host_key_checking entry,closed
724,dci-openshift-agent,2,[667],"[458, 630, 667, 724, 908]",['plays/install.yml'],Reduce Cleanup window,closed
30,config,1,[7],"[7, 458]",['resources/tenant-ansible.yaml'],ansible: turn exclude-unprotected-branches on at tenant level,closed
30,config,8,[7],"[7, 22, 458]","['nodepool/providers/vexxhost-nodepool-ansible.dhall', 'nodepool/static_config/nodepool-launcher-02.yaml', 'resources/tenant-ansible.yaml']",ansible: refresh the VMware images,closed
7,config,3,"[6, 22]","[6, 22, 458]",['resources/tenant-ansible.yaml'],[zuul] Enable build report for ansible,closed
648,dci-control-server,39,[29],"[29, 222, 405, 458, 648]","['dci/api/v1/products.py', 'dci/common/schemas.py', 'tests/api/v1/test_products.py']",Allow d-c-c to update products,closed
506,software-factory/sf-infra,55,"[201, 267, 609, 385]","[201, 267, 385, 458, 609]","['playbooks/host_vars/trunk-centos8.rdoproject.org.yaml', 'playbooks/host_vars/trunk.rdoproject.org.yaml']",Create new centos9-wallaby builder in RDO Trunk,closed
405,dci-control-server,0,[405],"[405, 458]",[],Retrigger the CI,closed
405,dci-control-server,474,[29],"[20, 29, 30, 107, 115, 222, 458]","['dci/api/v1/files.py', 'dci/api/v1/jobs.py', 'dci/api/v1/topics.py', 'dci/db/models2.py', 'tests/api/v1/test_jobs.py']","Revert ""jobs: move to orm""",closed
29,dci-control-server,476,"[29, 405]","[20, 29, 30, 107, 115, 222, 405, 458]","['dci/api/v1/files.py', 'dci/api/v1/jobs.py', 'dci/api/v1/topics.py', 'dci/db/models2.py', 'tests/api/v1/test_jobs.py']",jobs: move to orm,closed
29,dci-control-server,0,[28],"[28, 458]",[],Just trigger the CI,closed
